entrez_id,name,locus_group,locus_type,location,gene_family,gene_family_id,id,Start Chromossome,Start Chromossome Arm,Start Chromossome Loc,Start Chromossome SubLoc,End Chromossome Arm,End Chromossome Loc,End Chromossome SubLoc
642517.0,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 9",protein-coding gene,gene with protein product,10q11.22,ArfGAPs|Ankyrin repeat domain containing|Pleckstrin homology domain containing,395|403|682,23463,10,q,11,22,,,
60509.0,ATP/GTP binding protein-like 5,protein-coding gene,gene with protein product,2p23.3,,,26147,2,p,23,3,,,
3267.0,ArfGAP with FG repeats 1,protein-coding gene,gene with protein product,2q36,ArfGAPs,395,5175,2,q,36,,,,
3268.0,ArfGAP with FG repeats 2,protein-coding gene,gene with protein product,7q22.1,ArfGAPs,395,5177,7,q,22,1,,,
100128103.0,angiogenic factor with G-patch and FHA domains 1 pseudogene 5,pseudogene,pseudogene,16p11.1,,,51741,16,p,11,1,,,
106481737.0,angiogenic factor with G-patch and FHA domains 1 pseudogene 6,pseudogene,pseudogene,16p11.1,,,51744,16,p,11,1,,,
27161.0,"argonaute 2, RISC catalytic component",protein-coding gene,gene with protein product,8q24.3,Argonaute/PIWI family,408,3263,8,q,24,3,,,
10554.0,1-acylglycerol-3-phosphate O-acyltransferase 1,protein-coding gene,gene with protein product,6p21.3,1-acylglycerol-3-phosphate O-acyltransferases,46,324,6,p,21,3,,,
10555.0,1-acylglycerol-3-phosphate O-acyltransferase 2,protein-coding gene,gene with protein product,9q34.3,1-acylglycerol-3-phosphate O-acyltransferases,46,325,9,q,34,3,,,
56894.0,1-acylglycerol-3-phosphate O-acyltransferase 3,protein-coding gene,gene with protein product,21q22.3,1-acylglycerol-3-phosphate O-acyltransferases,46,326,21,q,22,3,,,
8540.0,alkylglycerone phosphate synthase,protein-coding gene,gene with protein product,2q,,,327,2,q,,,,,
10551.0,"anterior gradient 2, protein disulphide isomerase family member",protein-coding gene,gene with protein product,7p21.3,Protein disulfide isomerases,692,328,7,p,21,3,,,
375790.0,agrin,protein-coding gene,gene with protein product,1p36.33,Proteoglycans,570,329,1,p,36,33,,,
181.0,agouti related neuropeptide,protein-coding gene,gene with protein product,16q22,Endogenous ligands,542,330,16,q,22,,,,
185.0,angiotensin II receptor type 1,protein-coding gene,gene with protein product,3q24,Angiotensin receptors,221,336,3,q,24,,,,
186.0,angiotensin II receptor type 2,protein-coding gene,gene with protein product,Xq22-q23,X-linked mental retardation|Angiotensin receptors,103|221,338,22,,22,,q,,
189.0,alanine-glyoxylate aminotransferase,protein-coding gene,gene with protein product,2q37.3,,,341,2,q,37,3,,,
10768.0,adenosylhomocysteinase like 1,protein-coding gene,gene with protein product,1p13,Protein phosphatase 1 regulatory subunits,694,344,1,p,13,,,,
79026.0,AHNAK nucleoprotein,protein-coding gene,gene with protein product,11q12-q13,PDZ domain containing,1220,347,11,q,12,,q,,
196.0,aryl hydrocarbon receptor,protein-coding gene,gene with protein product,7p15,Basic helix-loop-helix proteins,420,348,7,p,15,,,,
202.0,absent in melanoma 1,protein-coding gene,gene with protein product,6q21,,,356,6,q,21,,,,
9447.0,absent in melanoma 2,protein-coding gene,gene with protein product,1q22,Pyrin and HIN domain family,995,357,1,q,22,,,,
9049.0,aryl hydrocarbon receptor interacting protein,protein-coding gene,gene with protein product,11q13.3,FKBP prolyl isomerases,910,358,11,q,13,3,,,
23746.0,aryl hydrocarbon receptor interacting protein like 1,protein-coding gene,gene with protein product,17p13.1,FKBP prolyl isomerases,910,359,17,p,13,1,,,
326.0,autoimmune regulator,protein-coding gene,gene with protein product,21q22.3,PHD finger proteins,88,360,21,q,22,3,,,
203.0,adenylate kinase 1,protein-coding gene,gene with protein product,9q34.1,Adenylate kinases,356,361,9,q,34,1,,,
204.0,adenylate kinase 2,protein-coding gene,gene with protein product,1p35.1,Adenylate kinases,356,362,1,p,35,1,,,
206.0,adenylate kinase 4 pseudogene 1,pseudogene,pseudogene,17q11.2,,,364,17,q,11,2,,,
8165.0,A-kinase anchoring protein 1,protein-coding gene,gene with protein product,17q22,A-kinase anchoring proteins|Protein phosphatase 1 regulatory subunits|Tudor domain containing,396|694|780,367,17,q,22,,,,
11217.0,A-kinase anchoring protein 2,protein-coding gene,gene with protein product,9q31.3,A-kinase anchoring proteins,396,372,9,q,31,3,,,
8852.0,A-kinase anchoring protein 4,protein-coding gene,gene with protein product,Xp11.2,A-kinase anchoring proteins,396,374,11,,11,2,,,
11216.0,A-kinase anchoring protein 10,protein-coding gene,gene with protein product,17p11.1,A-kinase anchoring proteins,396,368,17,p,11,1,,,
11215.0,A-kinase anchoring protein 11,protein-coding gene,gene with protein product,13q,A-kinase anchoring proteins|Protein phosphatase 1 regulatory subunits,396|694,369,13,q,,,,,
1645.0,"aldo-keto reductase family 1, member C1",protein-coding gene,gene with protein product,10p15-p14,Aldo-keto reductases,399,384,10,p,15,,p,,
1109.0,"aldo-keto reductase family 1, member C4",protein-coding gene,gene with protein product,10p15.1,Aldo-keto reductases,399,387,10,p,15,1,,,
6718.0,"aldo-keto reductase family 1, member D1",protein-coding gene,gene with protein product,7q32-q33,Aldo-keto reductases,399,388,7,q,32,,q,,
8574.0,"aldo-keto reductase family 7, member A2",protein-coding gene,gene with protein product,1p36.13,Aldo-keto reductases,399,389,1,p,36,13,,,
10000.0,v-akt murine thymoma viral oncogene homolog 3,protein-coding gene,gene with protein product,1q44,Pleckstrin homology domain containing,682,393,1,q,44,,,,
211.0,5'-aminolevulinate synthase 1,protein-coding gene,gene with protein product,3p21,,,396,3,p,21,,,,
212.0,5'-aminolevulinate synthase 2,protein-coding gene,gene with protein product,Xp11.21,,,397,11,,11,21,,,
216.0,aldehyde dehydrogenase 1 family member A1,protein-coding gene,gene with protein product,9q21.13,Aldehyde dehydrogenases,398,402,9,q,21,13,,,
220.0,aldehyde dehydrogenase 1 family member A3,protein-coding gene,gene with protein product,15q26.3,Aldehyde dehydrogenases,398,409,15,q,26,3,,,
10840.0,aldehyde dehydrogenase 1 family member L1,protein-coding gene,gene with protein product,3q21.2,Aldehyde dehydrogenases,398,3978,3,q,21,2,,,
218.0,aldehyde dehydrogenase 3 family member A1,protein-coding gene,gene with protein product,17p11.2,Aldehyde dehydrogenases,398,405,17,p,11,2,,,
221.0,aldehyde dehydrogenase 3 family member B1,protein-coding gene,gene with protein product,11q13,Aldehyde dehydrogenases,398,410,11,q,13,,,,
8659.0,aldehyde dehydrogenase 4 family member A1,protein-coding gene,gene with protein product,1p36,Aldehyde dehydrogenases,398,406,1,p,36,,,,
223.0,aldehyde dehydrogenase 9 family member A1,protein-coding gene,gene with protein product,1q24.1,Aldehyde dehydrogenases,398,412,1,q,24,1,,,
5832.0,aldehyde dehydrogenase 18 family member A1,protein-coding gene,gene with protein product,10q24.1,Aldehyde dehydrogenases,398,9722,10,q,24,1,,,
84920.0,"ALG10, alpha-1,2-glucosyltransferase",protein-coding gene,gene with protein product,12p11.21,"Alpha-1,2-glucosyltransferases",448,23162,12,p,11,21,,,
238.0,anaplastic lymphoma receptor tyrosine kinase,protein-coding gene,gene with protein product,2p23,Receptor Tyrosine Kinases|CD molecules,321|471,427,2,p,23,,,,
239.0,arachidonate 12-lipoxygenase,protein-coding gene,gene with protein product,17p13.1,Arachidonate lipoxygenases,407,429,17,p,13,1,,,
242.0,"arachidonate 12-lipoxygenase, 12R type",protein-coding gene,gene with protein product,17p13.1,Arachidonate lipoxygenases,407,430,17,p,13,1,,,
247.0,"arachidonate 15-lipoxygenase, type B",protein-coding gene,gene with protein product,17p13.1,Arachidonate lipoxygenases,407,434,17,p,13,1,,,
249.0,"alkaline phosphatase, liver/bone/kidney",protein-coding gene,gene with protein product,1p36.12,Alkaline phosphatases,1072,438,1,p,36,12,,,
57679.0,"ALS2, alsin Rho guanine nucleotide exchange factor",protein-coding gene,gene with protein product,2q33.1,Rho guanine nucleotide exchange factors|VPS9 domain containing,722|928,443,2,q,33,1,,,
728931.0,adenosylmethionine decarboxylase 1 pseudogene 3,pseudogene,pseudogene,5p12,,,51608,5,p,12,,,,
266.0,"amelogenin, Y-linked",protein-coding gene,gene with protein product,Yp11.2,,,462,11,,11,2,,,
267.0,autocrine motility factor receptor,protein-coding gene,gene with protein product,16q21,Ring finger proteins,58,463,16,q,21,,,,
269.0,anti-Mullerian hormone receptor type II,protein-coding gene,gene with protein product,12q13.13,Type II receptor serine/threonine kinases,346,465,12,q,13,13,,,
9949.0,"Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1",protein-coding gene,gene with protein product,Xq22.3,,,467,22,,22,3,,,
270.0,adenosine monophosphate deaminase 1,protein-coding gene,gene with protein product,1p13,,,468,1,p,13,,,,
272.0,adenosine monophosphate deaminase 3,protein-coding gene,gene with protein product,11p15,,,470,11,p,15,,,,
273.0,amphiphysin,protein-coding gene,gene with protein product,7p14-p13,,,471,7,p,14,,p,,
275.0,aminomethyltransferase,protein-coding gene,gene with protein product,3p21.31,,,473,3,p,21,31,,,
276.0,"amylase, alpha 1A (salivary)",protein-coding gene,gene with protein product,1p21,,,474,1,p,21,,,,
277.0,"amylase, alpha 1B (salivary)",protein-coding gene,gene with protein product,1p21,,,475,1,p,21,,,,
278.0,"amylase, alpha 1C (salivary)",protein-coding gene,gene with protein product,1p21,,,476,1,p,21,,,,
279.0,"amylase, alpha 2A (pancreatic)",protein-coding gene,gene with protein product,1p21.1,,,477,1,p,21,1,,,
280.0,"amylase, alpha 2B (pancreatic)",protein-coding gene,gene with protein product,1p21,,,478,1,p,21,,,,
51378.0,angiopoietin 4,protein-coding gene,gene with protein product,20p13,Fibrinogen C domain containing,554,487,20,p,13,,,,
9068.0,angiopoietin like 1,protein-coding gene,gene with protein product,1q25.2,Fibrinogen C domain containing|Angiopoietin-like,554|905,489,1,q,25,2,,,
23452.0,angiopoietin like 2,protein-coding gene,gene with protein product,9q34,Fibrinogen C domain containing|Angiopoietin-like,554|905,490,9,q,34,,,,
286.0,ankyrin 1,protein-coding gene,gene with protein product,8p11.21,Ankyrin repeat domain containing,403,492,8,p,11,21,,,
287.0,"ankyrin 2, neuronal",protein-coding gene,gene with protein product,4q25-q26,Ankyrin repeat domain containing,403,493,4,q,25,,q,,
54522.0,ankyrin repeat domain 16,protein-coding gene,gene with protein product,10p15.1,Ankyrin repeat domain containing,403,23471,10,p,15,1,,,
253650.0,ankyrin repeat domain 18A,protein-coding gene,gene with protein product,9p13.1,Ankyrin repeat domain containing,403,23643,9,p,13,1,,,
441459.0,ankyrin repeat domain 18B,protein-coding gene,gene with protein product,9p13.3,Ankyrin repeat domain containing,403,23644,9,p,13,3,,,
54851.0,ankyrin repeat domain 49,protein-coding gene,gene with protein product,11q21,Ankyrin repeat domain containing,403,25970,11,q,21,,,,
303.0,annexin A2 pseudogene 1,pseudogene,pseudogene,4q31.3,,,538,4,q,31,3,,,
304.0,annexin A2 pseudogene 2,pseudogene,pseudogene,9p13.3,,,539,9,p,13,3,,,
305.0,annexin A2 pseudogene 3,pseudogene,pseudogene,10q21.3,,,540,10,q,21,3,,,
310.0,annexin A7,protein-coding gene,gene with protein product,10q22.2,Annexins,404,545,10,q,22,2,,,
653145.0,annexin A8,protein-coding gene,gene with protein product,10q11.22,Annexins,404,546,10,q,11,22,,,
8416.0,annexin A9,protein-coding gene,gene with protein product,1q21.2,Annexins,404,547,1,q,21,2,,,
162.0,adaptor related protein complex 1 beta 1 subunit,protein-coding gene,gene with protein product,22q12.2,,,554,22,q,12,2,,,
10053.0,adaptor related protein complex 1 mu 2 subunit,protein-coding gene,gene with protein product,19p13.2,,,558,19,p,13,2,,,
163.0,adaptor related protein complex 2 beta 1 subunit,protein-coding gene,gene with protein product,17q12,,,563,17,q,12,,,,
8120.0,adaptor related protein complex 3 beta 2 subunit,protein-coding gene,gene with protein product,15q,,,567,15,q,,,,,
1176.0,adaptor related protein complex 3 sigma 1 subunit,protein-coding gene,gene with protein product,5q22,,,2013,5,q,22,,,,
10239.0,adaptor related protein complex 3 sigma 2 subunit,protein-coding gene,gene with protein product,15q26.1,,,571,15,q,26,1,,,
10717.0,adaptor related protein complex 4 beta 1 subunit,protein-coding gene,gene with protein product,1p13.2,,,572,1,p,13,2,,,
23431.0,adaptor related protein complex 4 epsilon 1 subunit,protein-coding gene,gene with protein product,15q21.2,,,573,15,q,21,2,,,
320.0,amyloid beta precursor protein binding family A member 1,protein-coding gene,gene with protein product,9q21.12,PDZ domain containing,1220,578,9,q,21,12,,,
