Gene ID,hgnc_id,name,locus_group,locus_type,location,gene_family,gene_family_id
999,HGNC:1748,cadherin 1,protein-coding gene,gene with protein product,16q22.1,CD molecules|Type I classical cadherins,471|1185
135,HGNC:263,adenosine A2a receptor,protein-coding gene,gene with protein product,22q11.23,Adenosine receptors,211
1636,HGNC:2707,angiotensin I converting enzyme,protein-coding gene,gene with protein product,17q23.3,CD molecules,471
207,HGNC:391,v-akt murine thymoma viral oncogene homolog 1,protein-coding gene,gene with protein product,14q32.33,Pleckstrin homology domain containing,682
2099,HGNC:3467,estrogen receptor 1,protein-coding gene,gene with protein product,6q24-q27,Nuclear hormone receptors,71
2912,HGNC:4594,glutamate metabotropic receptor 2,protein-coding gene,gene with protein product,3p21.2,Glutamate metabotropic receptors,281
2950,HGNC:4638,glutathione S-transferase pi 1,protein-coding gene,gene with protein product,11q13.2,Glutathione S-transferases,567
3350,HGNC:5286,5-hydroxytryptamine receptor 1A,protein-coding gene,gene with protein product,5q12.3,"5-hydroxytryptamine receptors, G protein-coupled",170
3362,HGNC:5301,5-hydroxytryptamine receptor 6,protein-coding gene,gene with protein product,1p36-p35,"5-hydroxytryptamine receptors, G protein-coupled",170
4886,HGNC:7956,neuropeptide Y receptor Y1,protein-coding gene,gene with protein product,4q32.2,Neuropeptide receptors,854
4988,HGNC:8156,opioid receptor mu 1,protein-coding gene,gene with protein product,6q24-q25,Opioid receptors,245
5245,HGNC:8912,prohibitin,protein-coding gene,gene with protein product,17q21,,
6531,HGNC:11049,solute carrier family 6 member 3,protein-coding gene,gene with protein product,5p15.3,Solute carriers,752
6622,HGNC:11138,synuclein alpha,protein-coding gene,gene with protein product,4q21.3-q22,Parkinson disease associated genes,672
6648,HGNC:11180,"superoxide dismutase 2, mitochondrial",protein-coding gene,gene with protein product,6q25,,
816,HGNC:1461,calcium/calmodulin dependent protein kinase II beta,protein-coding gene,gene with protein product,7p14.3-p14.1,,
8787,HGNC:10004,regulator of G-protein signaling 9,protein-coding gene,gene with protein product,17q24.1,Regulators of G-protein signaling,720
9463,HGNC:9394,protein interacting with PRKCA 1,protein-coding gene,gene with protein product,22q13.1,PDZ domain containing,1220
3295,HGNC:5213,hydroxysteroid (17-beta) dehydrogenase 4,protein-coding gene,gene with protein product,5q2,Short chain dehydrogenase/reductase superfamily,743
5189,HGNC:8850,peroxisomal biogenesis factor 1,protein-coding gene,gene with protein product,7q21.2,AAA ATPases|Peroxins,413|957
5190,HGNC:8859,peroxisomal biogenesis factor 6,protein-coding gene,gene with protein product,6p22-p11,AAA ATPases|Peroxins,413|957
5192,HGNC:8851,peroxisomal biogenesis factor 10,protein-coding gene,gene with protein product,1p36.32,Ring finger proteins|Peroxins,58|957
5193,HGNC:8854,peroxisomal biogenesis factor 12,protein-coding gene,gene with protein product,17q21.1,Peroxins,957
5194,HGNC:8855,peroxisomal biogenesis factor 13,protein-coding gene,gene with protein product,2p16.1,Peroxins,957
5195,HGNC:8856,peroxisomal biogenesis factor 14,protein-coding gene,gene with protein product,1p36.22,Peroxins,957
55670,HGNC:22965,peroxisomal biogenesis factor 26,protein-coding gene,gene with protein product,22q11.21,Peroxins,957
5824,HGNC:9713,peroxisomal biogenesis factor 19,protein-coding gene,gene with protein product,1q22,Peroxins,957
5825,HGNC:67,ATP binding cassette subfamily D member 3,protein-coding gene,gene with protein product,1p21.3,ATP binding cassette subfamily D|GOLD domain containing,808|1062
5828,HGNC:9717,peroxisomal biogenesis factor 2,protein-coding gene,gene with protein product,8q21.11,Ring finger proteins|Peroxins,58|957
5830,HGNC:9719,peroxisomal biogenesis factor 5,protein-coding gene,gene with protein product,12p13.31,Tetratricopeptide repeat domain containing|Peroxins,769|957
8504,HGNC:8858,peroxisomal biogenesis factor 3,protein-coding gene,gene with protein product,6q24.2,Peroxins,957
8799,HGNC:8853,peroxisomal biogenesis factor 11 beta,protein-coding gene,gene with protein product,1q21.1,Peroxins,957
9409,HGNC:8857,peroxisomal biogenesis factor 16,protein-coding gene,gene with protein product,11p11.2,Peroxins,957
10318,HGNC:16903,TNFAIP3 interacting protein 1,protein-coding gene,gene with protein product,5q33.1,,
10498,HGNC:23393,coactivator associated arginine methyltransferase 1,protein-coding gene,gene with protein product,19p13.2,Protein arginine methyltransferases,691
10758,HGNC:1343,TRAF3 interacting protein 2,protein-coding gene,gene with protein product,6q21,,
10866,HGNC:21659,HLA complex P5 (non-protein coding),non-coding RNA,"RNA, long non-coding",6p21.3,,
117289,HGNC:15669,T-cell activation RhoGTPase activating protein,protein-coding gene,gene with protein product,6q25.3,Rho GTPase activating proteins,721
125893,HGNC:26995,zinc finger protein 816,protein-coding gene,gene with protein product,19q13.41,Zinc fingers C2H2-type,28
1356,HGNC:2295,ceruloplasmin (ferroxidase),protein-coding gene,gene with protein product,3q23-q25,,
1401,HGNC:2367,"C-reactive protein, pentraxin-related",protein-coding gene,gene with protein product,1q23.2,Short pentraxins,1143
1437,HGNC:2434,colony stimulating factor 2,protein-coding gene,gene with protein product,5q23-q31,,
149233,HGNC:19100,interleukin 23 receptor,protein-coding gene,gene with protein product,1p31.2,,
163702,HGNC:18584,interferon lambda receptor 1,protein-coding gene,gene with protein product,1p36.11,Interferon receptors,599
23586,HGNC:19102,DEXD/H-box helicase 58,protein-coding gene,gene with protein product,9p12,DEAD-box helicases,499
2524,HGNC:4013,fucosyltransferase 2,protein-coding gene,gene with protein product,19q13.33,Fucosyltransferases,434
2706,HGNC:4284,gap junction protein beta 2,protein-coding gene,gene with protein product,13q11-q12,Gap junction proteins,314
29785,HGNC:15654,cytochrome P450 family 2 subfamily S member 1,protein-coding gene,gene with protein product,19q13.2,Cytochrome P450 family 2,1001
3107,HGNC:4933,"major histocompatibility complex, class I, C",protein-coding gene,gene with protein product,6p21.3,Histocompatibility complex|C1-set domain containing,588|591
338442,HGNC:24827,hydroxycarboxylic acid receptor 2,protein-coding gene,gene with protein product,12q24.31,Hydroxy-carboxylic acid receptors,200
348,HGNC:613,apolipoprotein E,protein-coding gene,gene with protein product,19q13.31,Apolipoproteins,405
353143,HGNC:29462,late cornified envelope 3B,protein-coding gene,gene with protein product,1q21.3,Late cornified envelope proteins,627
353144,HGNC:16612,late cornified envelope 3C,protein-coding gene,gene with protein product,1q21.3,Late cornified envelope proteins,627
3553,HGNC:5992,interleukin 1 beta,protein-coding gene,gene with protein product,2q14,Endogenous ligands|Interleukins,542|601
3565,HGNC:6014,interleukin 4,protein-coding gene,gene with protein product,5q23-q31,Interleukins,601
3569,HGNC:6018,interleukin 6,protein-coding gene,gene with protein product,7p15.3,Interferons|Interleukins,598|601
3593,HGNC:5970,interleukin 12B,protein-coding gene,gene with protein product,5q33.3,Immunoglobulin-like domain containing|Interleukins,594|601
3596,HGNC:5973,interleukin 13,protein-coding gene,gene with protein product,5q31,Interleukins,601
400957,HGNC:49572,long intergenic non-protein coding RNA 1185,non-coding RNA,"RNA, long non-coding",2p16.1,,
4288,HGNC:7107,marker of proliferation Ki-67,protein-coding gene,gene with protein product,10q26.2,Protein phosphatase 1 regulatory subunits,694
4792,HGNC:7797,NFKB inhibitor alpha,protein-coding gene,gene with protein product,14q13,Ankyrin repeat domain containing,403
4843,HGNC:7873,nitric oxide synthase 2,protein-coding gene,gene with protein product,17q11.2,,
5111,HGNC:8729,proliferating cell nuclear antigen,protein-coding gene,gene with protein product,20p13-p12.3,,
51561,HGNC:15488,interleukin 23 subunit alpha,protein-coding gene,gene with protein product,12q13.13,Interleukins,601
51752,HGNC:18173,endoplasmic reticulum aminopeptidase 1,protein-coding gene,gene with protein product,5q15,Aminopeptidases|Minor histocompatibility antigens,104|870
5271,HGNC:8952,serpin family B member 8,protein-coding gene,gene with protein product,18q22.1,Serpin peptidase inhibitors,739
54620,HGNC:25300,F-box and leucine-rich repeat protein 19,protein-coding gene,gene with protein product,16p11.2,PHD finger proteins|Zinc fingers CXXC-type|F-box and leucine-rich repeat proteins,88|136|558
5468,HGNC:9236,peroxisome proliferator activated receptor gamma,protein-coding gene,gene with protein product,3p25,Nuclear hormone receptors,71
55350,HGNC:16431,vanin 3,protein-coding gene,gene with protein product,6q23.2,Vanins,10
55770,HGNC:24968,exocyst complex component 2,protein-coding gene,gene with protein product,6p25.3,Exocyst complex,1055
55905,HGNC:13094,ring finger protein 114,protein-coding gene,gene with protein product,20q13,Ring finger proteins,58
57178,HGNC:16493,zinc finger MIZ-type containing 1,protein-coding gene,gene with protein product,10q22.3,Zinc fingers MIZ-type,85
5966,HGNC:9954,v-rel avian reticuloendotheliosis viral oncogene homolog,protein-coding gene,gene with protein product,2p13-p12,,
5972,HGNC:9958,renin,protein-coding gene,gene with protein product,1q32,,
5980,HGNC:9968,"REV3 like, DNA directed polymerase zeta catalytic subunit",protein-coding gene,gene with protein product,6q22,"Polymerases, DNA-directed",535
6278,HGNC:10497,S100 calcium binding protein A7,protein-coding gene,gene with protein product,1q21,S100 calcium binding proteins|EF-hand domain containing,459|863
64135,HGNC:18873,interferon induced with helicase C domain 1,protein-coding gene,gene with protein product,2q24.2,Caspase recruitment domain containing|RNA helicases,959|1168
643749,HGNC:40005,TRAF3IP2 antisense RNA 1,non-coding RNA,"RNA, long non-coding",6q21,,
64478,HGNC:14026,CUB and Sushi multiple domains 1,protein-coding gene,gene with protein product,8p23.2,Protein phosphatase 1 regulatory subunits|Sushi domain containing,694|1179
6773,HGNC:11363,signal transducer and activator of transcription 2,protein-coding gene,gene with protein product,12q13.2,SH2 domain containing,741
6774,HGNC:11364,signal transducer and activator of transcription 3,protein-coding gene,gene with protein product,17q21,SH2 domain containing,741
7039,HGNC:11765,transforming growth factor alpha,protein-coding gene,gene with protein product,2p13,,
7124,HGNC:11892,tumor necrosis factor,protein-coding gene,gene with protein product,6p21.3,Tumor necrosis factor superfamily,781
7128,HGNC:11896,TNF alpha induced protein 3,protein-coding gene,gene with protein product,6q23-q25,OTU domain containing,669
7157,HGNC:11998,tumor protein p53,protein-coding gene,gene with protein product,17p13.1,,
7297,HGNC:12440,tyrosine kinase 2,protein-coding gene,gene with protein product,19p13.2,,
7422,HGNC:12680,vascular endothelial growth factor A,protein-coding gene,gene with protein product,6p12,,
79092,HGNC:16446,caspase recruitment domain family member 14,protein-coding gene,gene with protein product,17q25.3,Membrane-associated guanylate kinases|Caspase recruitment domain containing|PDZ domain containing,904|959|1220
81890,HGNC:23797,queuine tRNA-ribosyltransferase catalytic subunit 1,protein-coding gene,gene with protein product,19p13.3,,
831,HGNC:1515,calpastatin,protein-coding gene,gene with protein product,5q15,,
84648,HGNC:16615,late cornified envelope 3D,protein-coding gene,gene with protein product,1q21,Late cornified envelope proteins,627
847,HGNC:1516,catalase,protein-coding gene,gene with protein product,11p13,,
85463,HGNC:29362,zinc finger CCCH-type containing 12C,protein-coding gene,gene with protein product,11q22.3,Zinc fingers CCCH-type,73
864,HGNC:10473,runt related transcription factor 3,protein-coding gene,gene with protein product,1p36,,
8651,HGNC:19383,suppressor of cytokine signaling 1,protein-coding gene,gene with protein product,16p13.13,SH2 domain containing|Suppressors of cytokine signaling,741|764
8875,HGNC:12706,vanin 2,protein-coding gene,gene with protein product,6q23-q24,Vanins,10
8876,HGNC:12705,vanin 1,protein-coding gene,gene with protein product,6q23-q24,Vanins,10
90134,HGNC:18863,potassium voltage-gated channel subfamily H member 7,protein-coding gene,gene with protein product,2q24.3,Potassium voltage-gated channels,274
9232,HGNC:9690,pituitary tumor-transforming 1,protein-coding gene,gene with protein product,5q35.1,,
9692,HGNC:19958,KIAA0391,protein-coding gene,gene with protein product,14q13.2,,
9825,HGNC:14681,spermatogenesis associated 2,protein-coding gene,gene with protein product,20q13.13,Protein phosphatase 1 regulatory subunits,694
9844,HGNC:16286,engulfment and cell motility 1,protein-coding gene,gene with protein product,7p14.1,Engulfment and cell motility proteins,543
1277,HGNC:2197,collagen type I alpha 1,protein-coding gene,gene with protein product,17q21.33,Collagens,490
1282,HGNC:2202,collagen type IV alpha 1,protein-coding gene,gene with protein product,13q34,Collagens,490
1284,HGNC:2203,collagen type IV alpha 2,protein-coding gene,gene with protein product,13q34,Collagens,490
2,HGNC:7,alpha-2-macroglobulin,protein-coding gene,gene with protein product,12p13.31,"C3 and PZP like, alpha-2-macroglobulin domain containing",1234
213,HGNC:399,albumin,protein-coding gene,gene with protein product,4q13.3,,
2152,HGNC:3541,"coagulation factor III, tissue factor",protein-coding gene,gene with protein product,1p22-p21,CD molecules,471
2247,HGNC:3676,fibroblast growth factor 2,protein-coding gene,gene with protein product,4q26,Endogenous ligands,542
2262,HGNC:4453,glypican 5,protein-coding gene,gene with protein product,13q32,Glypicans,572
2981,HGNC:4683,guanylate cyclase activator 2B,protein-coding gene,gene with protein product,1p34-p33,Endogenous ligands,542
3123,HGNC:4948,"major histocompatibility complex, class II, DR beta 1",protein-coding gene,gene with protein product,6p21.3,Histocompatibility complex|C1-set domain containing,588|591
3291,HGNC:5209,hydroxysteroid (11-beta) dehydrogenase 2,protein-coding gene,gene with protein product,16q22,Short chain dehydrogenase/reductase superfamily,743
3558,HGNC:6001,interleukin 2,protein-coding gene,gene with protein product,4q26-q27,Interleukins,601
462,HGNC:775,serpin family C member 1,protein-coding gene,gene with protein product,1q25.1,Serpin peptidase inhibitors,739
4690,HGNC:7664,NCK adaptor protein 1,protein-coding gene,gene with protein product,3q21,SH2 domain containing,741
5054,HGNC:8583,serpin family E member 1,protein-coding gene,gene with protein product,7q22.1,Serpin peptidase inhibitors,739
7018,HGNC:11740,transferrin,protein-coding gene,gene with protein product,3q21,Transferrins,908
7040,HGNC:11766,transforming growth factor beta 1,protein-coding gene,gene with protein product,19q13.1,Endogenous ligands,542
7827,HGNC:13394,NPHS2 podocin,protein-coding gene,gene with protein product,1q25.2,,
8440,HGNC:7665,NCK adaptor protein 2,protein-coding gene,gene with protein product,2q12,SH2 domain containing,741
914,HGNC:1639,CD2 molecule,protein-coding gene,gene with protein product,1p13,CD molecules|V-set domain containing|C2-set domain containing,471|590|592
221692,HGNC:20990,phosphatase and actin regulator 1,protein-coding gene,gene with protein product,6p23,Phosphatase and actin regulators,679
23063,HGNC:23293,WAPL cohesin release factor,protein-coding gene,gene with protein product,10q23.31,,
23245,HGNC:17021,astrotactin 2,protein-coding gene,gene with protein product,9q33,,
4035,HGNC:6692,LDL receptor related protein 1,protein-coding gene,gene with protein product,12q13.3,CD molecules|Low density lipoprotein receptors,471|634
4209,HGNC:6997,myocyte enhancer factor 2D,protein-coding gene,gene with protein product,1q12-q23,Myocyte enhancer factor 2 proteins|MADS box family,649|1086
6863,HGNC:11517,tachykinin precursor 1,protein-coding gene,gene with protein product,7q21-q22,Endogenous ligands,542
79054,HGNC:17961,transient receptor potential cation channel subfamily M member 8,protein-coding gene,gene with protein product,2q37,Transient receptor potential cation channels,249
796,HGNC:1437,calcitonin related polypeptide alpha,protein-coding gene,gene with protein product,11p15.2,Endogenous ligands,542
79783,HGNC:16001,succinyl-CoA:glutarate-CoA transferase,protein-coding gene,gene with protein product,7p14,,
9457,HGNC:17371,four and a half LIM domains 5,protein-coding gene,gene with protein product,6q16.1-q16.3,LIM domain containing,1218
9910,HGNC:24663,RAB GTPase activating protein 1-like,protein-coding gene,gene with protein product,1q24,,
10036,HGNC:1910,chromatin assembly factor 1 subunit A,protein-coding gene,gene with protein product,19p13.3,,
2189,HGNC:3588,Fanconi anemia complementation group G,protein-coding gene,gene with protein product,9p13,Fanconi anemia complementation groups,548
2937,HGNC:4624,glutathione synthetase,protein-coding gene,gene with protein product,20q11.2,,
3301,HGNC:5229,DnaJ heat shock protein family (Hsp40) member A1,protein-coding gene,gene with protein product,9p13.3,DNAJ (HSP40) heat shock proteins,584
51182,HGNC:29526,heat shock protein family A (Hsp70) member 14,protein-coding gene,gene with protein product,10p13,Heat shock 70kDa proteins,583
54541,HGNC:24944,DNA damage inducible transcript 4,protein-coding gene,gene with protein product,10q22.1,,
56603,HGNC:20581,cytochrome P450 family 26 subfamily B member 1,protein-coding gene,gene with protein product,2p12,Cytochrome P450 family 26,1013
5743,HGNC:9605,prostaglandin-endoperoxide synthase 2,protein-coding gene,gene with protein product,1q25.2-q25.3,,
6283,HGNC:10489,S100 calcium binding protein A12,protein-coding gene,gene with protein product,1q21,S100 calcium binding proteins|EF-hand domain containing,459|863
672,HGNC:1100,breast cancer 1,protein-coding gene,gene with protein product,17q21.31,Ring finger proteins|Fanconi anemia complementation groups|Protein phosphatase 1 regulatory subunits,58|548|694
8208,HGNC:1911,chromatin assembly factor 1 subunit B,protein-coding gene,gene with protein product,21q22.2,WD repeat domain containing,362
9518,HGNC:30142,growth differentiation factor 15,protein-coding gene,gene with protein product,19p13.11,,
126328,HGNC:20371,NADH:ubiquinone oxidoreductase subunit A11,protein-coding gene,gene with protein product,19p13.3,NADH:ubiquinone oxidoreductase supernumerary subunits,1150
137682,HGNC:28625,NADH:ubiquinone oxidoreductase complex assembly factor 6,protein-coding gene,gene with protein product,8q22.1,Mitochondrial respiratory chain complex assembly factors,645
25915,HGNC:29918,NADH:ubiquinone oxidoreductase complex assembly factor 3,protein-coding gene,gene with protein product,3p21.31,Mitochondrial respiratory chain complex assembly factors,645
29078,HGNC:21034,NADH:ubiquinone oxidoreductase complex assembly factor 4,protein-coding gene,gene with protein product,6q16.3,Mitochondrial respiratory chain complex assembly factors,645
374291,HGNC:7714,NADH:ubiquinone oxidoreductase core subunit S7,protein-coding gene,gene with protein product,19p13,NADH:ubiquinone oxidoreductase core subunits,1149
4535,HGNC:7455,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1,protein-coding gene,gene with protein product,mitochondria,NADH:ubiquinone oxidoreductase core subunits,1149
4536,HGNC:7456,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2,protein-coding gene,gene with protein product,mitochondria,NADH:ubiquinone oxidoreductase core subunits,1149
4537,HGNC:7458,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3,protein-coding gene,gene with protein product,mitochondria,NADH:ubiquinone oxidoreductase core subunits,1149
4538,HGNC:7459,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4,protein-coding gene,gene with protein product,mitochondria,NADH:ubiquinone oxidoreductase core subunits,1149
4540,HGNC:7461,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5,protein-coding gene,gene with protein product,mitochondria,NADH:ubiquinone oxidoreductase core subunits,1149
4541,HGNC:7462,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6,protein-coding gene,gene with protein product,mitochondria,NADH:ubiquinone oxidoreductase core subunits,1149
4570,HGNC:7493,mitochondrially encoded tRNA asparagine,non-coding RNA,"RNA, transfer",mitochondria,Mitochondrially encoded tRNAs,843
4694,HGNC:7683,NADH:ubiquinone oxidoreductase subunit A1,protein-coding gene,gene with protein product,Xq24,NADH:ubiquinone oxidoreductase supernumerary subunits,1150
4709,HGNC:7698,NADH:ubiquinone oxidoreductase subunit B3,protein-coding gene,gene with protein product,2q33.1,NADH:ubiquinone oxidoreductase supernumerary subunits,1150
4715,HGNC:7704,NADH:ubiquinone oxidoreductase subunit B9,protein-coding gene,gene with protein product,8q24.13,LYR motif containing|NADH:ubiquinone oxidoreductase supernumerary subunits,635|1150
4719,HGNC:7707,NADH:ubiquinone oxidoreductase core subunit S1,protein-coding gene,gene with protein product,2q33-q34,NADH:ubiquinone oxidoreductase core subunits,1149
4720,HGNC:7708,NADH:ubiquinone oxidoreductase core subunit S2,protein-coding gene,gene with protein product,1q23.3,NADH:ubiquinone oxidoreductase core subunits,1149
4722,HGNC:7710,NADH:ubiquinone oxidoreductase core subunit S3,protein-coding gene,gene with protein product,11p11.11,NADH:ubiquinone oxidoreductase core subunits,1149
4723,HGNC:7716,NADH:ubiquinone oxidoreductase core subunit V1,protein-coding gene,gene with protein product,11q13,NADH:ubiquinone oxidoreductase core subunits,1149
4724,HGNC:7711,NADH:ubiquinone oxidoreductase subunit S4,protein-coding gene,gene with protein product,5q11.1,NADH:ubiquinone oxidoreductase supernumerary subunits,1150
4726,HGNC:7713,NADH:ubiquinone oxidoreductase subunit S6,protein-coding gene,gene with protein product,5p15.33,NADH:ubiquinone oxidoreductase supernumerary subunits,1150
4728,HGNC:7715,NADH:ubiquinone oxidoreductase core subunit S8,protein-coding gene,gene with protein product,11q13.2,NADH:ubiquinone oxidoreductase core subunits,1149
4729,HGNC:7717,NADH:ubiquinone oxidoreductase core subunit V2,protein-coding gene,gene with protein product,18p11.22,NADH:ubiquinone oxidoreductase core subunits,1149
51103,HGNC:18828,NADH:ubiquinone oxidoreductase complex assembly factor 1,protein-coding gene,gene with protein product,15q11.2-q21.3,Mitochondrial respiratory chain complex assembly factors,645
55572,HGNC:26927,FAD-dependent oxidoreductase domain containing 1,protein-coding gene,gene with protein product,11q24.2,,
79133,HGNC:15899,NADH:ubiquinone oxidoreductase complex assembly factor 5,protein-coding gene,gene with protein product,20p12.1,Mitochondrial respiratory chain complex assembly factors,645
80224,HGNC:20278,nucleotide binding protein like,protein-coding gene,gene with protein product,14q12,Mitochondrial respiratory chain complex assembly factors,645
91942,HGNC:28086,NADH:ubiquinone oxidoreductase complex assembly factor 2,protein-coding gene,gene with protein product,5q12.1,Mitochondrial respiratory chain complex assembly factors,645
1012,HGNC:1753,cadherin 13,protein-coding gene,gene with protein product,16q23.3,Major cadherins,18
10160,HGNC:3591,"FERM, ARH/RhoGEF and pleckstrin domain protein 1",protein-coding gene,gene with protein product,13q32.2,Pleckstrin homology domain containing|Protein phosphatase 1 regulatory subunits|Rho guanine nucleotide exchange factors,682|694|722
10207,HGNC:28881,"PATJ, crumbs cell polarity complex component",protein-coding gene,gene with protein product,1p31,PDZ domain containing|Crumbs complex,1220|1223
10257,HGNC:55,ATP binding cassette subfamily C member 4,protein-coding gene,gene with protein product,13q31,ATP binding cassette subfamily C,807
105,HGNC:227,"adenosine deaminase, RNA specific B2 (inactive)",protein-coding gene,gene with protein product,10p15.3,,
1080,HGNC:1884,cystic fibrosis transmembrane conductance regulator,protein-coding gene,gene with protein product,7q31.2,"Chloride channels, ATP-gated CFTR|ATP binding cassette subfamily C",309|807
11278,HGNC:6346,Kruppel-like factor 12,protein-coding gene,gene with protein product,13q22,Zinc fingers C2H2-type|Kruppel-like transcription factors,28|624
1129,HGNC:1951,cholinergic receptor muscarinic 2,protein-coding gene,gene with protein product,7q35-q36,Cholinergic receptors muscarinic,180
1138,HGNC:1959,cholinergic receptor nicotinic alpha 5 subunit,protein-coding gene,gene with protein product,15q24,Cholinergic receptors nicotinic subunits,173
